episode,total_reward,steps,solved,epsilon
1,-90.50,1130,1,0.9990
2,-218.50,1880,1,0.9980
3,-75.50,996,1,0.9970
4,-567.00,4900,0,0.9960
5,-328.00,2849,1,0.9950
6,-265.00,2197,1,0.9940
7,-158.50,1472,1,0.9930
8,-146.00,1419,1,0.9920
9,-114.50,1134,1,0.9910
10,-233.50,2216,1,0.9900
11,-314.50,2938,1,0.9891
12,-89.00,931,1,0.9881
13,-92.50,1048,1,0.9871
14,-99.50,1140,1,0.9861
15,-149.00,1467,1,0.9851
16,-325.00,2983,1,0.9841
17,-415.00,3411,1,0.9831
18,-142.00,1467,1,0.9822
19,-269.00,2165,1,0.9812
20,-179.50,1916,1,0.9802
21,-167.50,1582,1,0.9792
22,-94.50,834,1,0.9782
23,-65.00,585,1,0.9773
24,-121.00,1133,1,0.9763
25,-31.50,486,1,0.9753
26,-79.00,907,1,0.9743
27,-30.50,568,1,0.9733
28,-80.50,858,1,0.9724
29,-115.00,1123,1,0.9714
30,-13.00,309,1,0.9704
31,-184.00,2101,1,0.9695
32,-193.00,1733,1,0.9685
33,-99.00,933,1,0.9675
34,-37.50,566,1,0.9666
35,-84.50,890,1,0.9656
36,-97.50,976,1,0.9646
37,-59.50,722,1,0.9637
38,-21.00,409,1,0.9627
39,-59.00,849,1,0.9617
40,-38.00,563,1,0.9608
41,-91.00,1085,1,0.9598
42,-61.50,622,1,0.9588
43,-50.00,733,1,0.9579
44,-33.00,527,1,0.9569
45,-100.00,1005,1,0.9560
46,-139.00,1523,1,0.9550
47,-19.50,420,1,0.9541
48,-30.50,504,1,0.9531
49,-126.50,1420,1,0.9522
50,-51.50,672,1,0.9512
51,3.50,190,1,0.9503
52,-24.50,414,1,0.9493
53,-40.00,627,1,0.9484
54,-22.50,342,1,0.9474
55,-41.00,641,1,0.9465
56,-171.00,1873,1,0.9455
57,-76.50,906,1,0.9446
58,-14.00,413,1,0.9436
59,-69.00,819,1,0.9427
60,-11.00,373,1,0.9417
61,-32.50,408,1,0.9408
62,-35.00,485,1,0.9399
63,-11.50,390,1,0.9389
64,-88.50,980,1,0.9380
65,-22.50,488,1,0.9370
66,-29.00,443,1,0.9361
67,-16.00,309,1,0.9352
68,-23.00,403,1,0.9342
69,-29.00,557,1,0.9333
70,-98.50,1138,1,0.9324
71,-61.00,781,1,0.9314
72,-28.00,459,1,0.9305
73,-25.50,400,1,0.9296
74,-22.00,357,1,0.9286
75,-85.50,980,1,0.9277
76,-138.50,1570,1,0.9268
77,-16.00,287,1,0.9259
78,-88.00,1019,1,0.9249
79,10.00,161,1,0.9240
80,-42.50,596,1,0.9231
81,-8.00,413,1,0.9222
82,-3.00,265,1,0.9212
83,2.00,215,1,0.9203
84,-23.50,438,1,0.9194
85,-2.00,223,1,0.9185
86,-65.50,832,1,0.9176
87,-15.00,333,1,0.9166
88,0.50,184,1,0.9157
89,-49.00,789,1,0.9148
90,-39.50,690,1,0.9139
91,-2.50,262,1,0.9130
92,-34.00,561,1,0.9121
93,-22.50,412,1,0.9112
94,-22.00,423,1,0.9102
95,-15.00,445,1,0.9093
96,-5.50,346,1,0.9084
97,-20.00,367,1,0.9075
98,-121.50,1424,1,0.9066
99,-67.50,902,1,0.9057
100,-31.00,533,1,0.9048
101,-49.50,608,1,0.9039
102,-4.00,255,1,0.9030
103,-38.00,573,1,0.9021
104,-41.00,823,1,0.9012
105,-27.50,512,1,0.9003
106,-35.00,623,1,0.8994
107,-1.00,233,1,0.8985
108,-32.50,534,1,0.8976
109,-34.50,526,1,0.8967
110,-18.00,389,1,0.8958
111,-36.00,617,1,0.8949
112,-19.00,307,1,0.8940
113,-8.00,297,1,0.8931
114,-45.00,631,1,0.8922
115,-12.00,363,1,0.8913
116,-13.00,317,1,0.8904
117,8.00,151,1,0.8895
118,-12.00,451,1,0.8886
119,-68.50,880,1,0.8878
120,-30.50,480,1,0.8869
121,-21.00,483,1,0.8860
122,-26.50,506,1,0.8851
123,6.50,198,1,0.8842
124,0.00,265,1,0.8833
125,-48.50,626,1,0.8824
126,-46.50,830,1,0.8816
127,1.00,295,1,0.8807
128,-29.00,487,1,0.8798
129,-17.00,429,1,0.8789
130,0.00,235,1,0.8780
131,-9.00,379,1,0.8772
132,-15.00,393,1,0.8763
133,-19.50,410,1,0.8754
134,-44.50,742,1,0.8745
135,-28.50,600,1,0.8737
136,-13.50,320,1,0.8728
137,3.00,229,1,0.8719
138,-0.50,166,1,0.8710
139,-14.00,393,1,0.8702
140,6.50,174,1,0.8693
141,-55.00,805,1,0.8684
142,-2.50,246,1,0.8676
143,-23.50,544,1,0.8667
144,4.00,241,1,0.8658
145,-6.50,342,1,0.8650
146,-31.50,600,1,0.8641
147,-27.00,503,1,0.8632
148,2.00,159,1,0.8624
149,7.50,188,1,0.8615
150,-32.50,654,1,0.8606
151,-4.00,281,1,0.8598
152,-23.50,386,1,0.8589
153,-18.00,331,1,0.8581
154,-15.00,491,1,0.8572
155,-7.50,316,1,0.8563
156,-6.50,258,1,0.8555
157,-49.00,891,1,0.8546
158,-10.50,252,1,0.8538
159,7.50,186,1,0.8529
160,-18.00,363,1,0.8521
161,-61.50,788,1,0.8512
162,-3.50,274,1,0.8504
163,-19.00,375,1,0.8495
164,-4.00,397,1,0.8487
165,-2.00,297,1,0.8478
166,-15.50,366,1,0.8470
167,-27.00,601,1,0.8461
168,2.00,179,1,0.8453
169,-34.50,770,1,0.8444
170,3.00,211,1,0.8436
171,-75.50,872,1,0.8427
172,-25.00,447,1,0.8419
173,-10.50,344,1,0.8411
174,0.50,198,1,0.8402
175,3.00,241,1,0.8394
176,-14.00,471,1,0.8385
177,-14.50,346,1,0.8377
178,-5.50,320,1,0.8369
179,1.00,265,1,0.8360
180,-19.00,525,1,0.8352
181,-19.00,371,1,0.8344
182,8.00,199,1,0.8335
183,4.50,184,1,0.8327
184,-18.00,401,1,0.8319
185,7.00,209,1,0.8310
186,-12.50,410,1,0.8302
187,-0.50,242,1,0.8294
188,-39.50,806,1,0.8285
189,-21.00,569,1,0.8277
190,-21.50,588,1,0.8269
191,-14.50,436,1,0.8261
192,-12.50,338,1,0.8252
193,2.50,292,1,0.8244
194,5.50,168,1,0.8236
195,-10.00,313,1,0.8228
196,4.00,201,1,0.8219
197,7.00,181,1,0.8211
198,-15.50,440,1,0.8203
199,2.00,183,1,0.8195
200,2.00,203,1,0.8186
201,-45.00,795,1,0.8178
202,10.50,128,1,0.8170
203,5.50,198,1,0.8162
204,-22.00,547,1,0.8154
205,6.50,234,1,0.8146
206,10.00,167,1,0.8137
207,4.00,175,1,0.8129
208,10.50,200,1,0.8121
209,10.00,225,1,0.8113
210,-2.50,356,1,0.8105
211,-13.50,336,1,0.8097
212,8.50,180,1,0.8089
213,-0.50,284,1,0.8081
214,9.50,174,1,0.8073
215,-15.00,413,1,0.8065
216,-64.50,1044,1,0.8056
217,12.00,203,1,0.8048
218,9.00,185,1,0.8040
219,-3.00,287,1,0.8032
220,-15.50,380,1,0.8024
221,1.50,262,1,0.8016
222,-11.50,426,1,0.8008
223,2.00,335,1,0.8000
224,-6.50,450,1,0.7992
225,-1.00,325,1,0.7984
226,2.50,264,1,0.7976
227,16.00,121,1,0.7968
228,6.50,160,1,0.7960
229,-15.50,466,1,0.7952
230,3.00,191,1,0.7944
231,8.00,261,1,0.7936
232,-36.50,646,1,0.7929
233,7.50,158,1,0.7921
234,8.00,195,1,0.7913
235,-1.50,306,1,0.7905
236,-1.50,348,1,0.7897
237,-2.00,407,1,0.7889
238,6.00,185,1,0.7881
239,-12.50,524,1,0.7873
240,-10.00,335,1,0.7865
241,6.50,232,1,0.7857
242,0.00,323,1,0.7850
243,1.50,262,1,0.7842
244,1.50,436,1,0.7834
245,8.50,116,1,0.7826
246,8.50,194,1,0.7818
247,15.00,115,1,0.7810
248,14.50,132,1,0.7803
249,15.00,119,1,0.7795
250,14.00,119,1,0.7787
251,8.00,135,1,0.7779
