episode,total_reward,steps,solved,epsilon
1,-30.00,814,1,0.9990
2,-134.00,1024,0,0.9980
3,-131.50,1024,0,0.9970
4,-136.50,1024,0,0.9960
5,-138.00,1024,0,0.9950
6,-128.50,1024,0,0.9940
7,9.00,518,1,0.9930
8,-46.50,881,1,0.9920
9,-151.50,1024,0,0.9910
10,-2.50,655,1,0.9900
11,-141.50,1024,0,0.9891
12,-108.50,1024,0,0.9881
13,-148.00,1024,0,0.9871
14,-26.50,675,1,0.9861
15,-27.50,835,1,0.9851
16,-131.00,1024,0,0.9841
17,-159.50,1024,0,0.9831
18,-138.00,1024,0,0.9822
19,32.00,378,1,0.9812
20,-136.50,1024,0,0.9802
21,-132.50,1024,0,0.9792
22,-62.50,1017,1,0.9782
23,-132.50,1024,0,0.9773
24,-23.00,776,1,0.9763
25,6.00,674,1,0.9753
26,45.00,288,1,0.9743
27,-135.50,1024,0,0.9733
28,-1.50,515,1,0.9724
29,-144.50,1024,0,0.9714
30,27.50,381,1,0.9704
31,-109.00,1024,0,0.9695
32,17.50,477,1,0.9685
33,23.00,438,1,0.9675
34,-44.50,763,1,0.9666
35,16.00,518,1,0.9656
36,-12.00,718,1,0.9646
37,-118.00,1024,0,0.9637
38,-28.00,832,1,0.9627
39,-107.00,1024,0,0.9617
40,-49.00,906,1,0.9608
41,-122.50,1024,0,0.9598
42,11.00,576,1,0.9588
43,-122.50,1024,0,0.9579
44,25.50,433,1,0.9569
45,-134.50,1024,0,0.9560
46,-123.00,1024,0,0.9550
47,35.50,373,1,0.9541
48,-142.50,1024,0,0.9531
49,59.00,152,1,0.9522
50,9.00,544,1,0.9512
51,-121.00,1024,0,0.9503
52,-116.50,1024,0,0.9493
53,23.50,443,1,0.9484
54,39.00,288,1,0.9474
55,-147.50,1024,0,0.9465
56,-136.00,1024,0,0.9455
57,-114.50,1024,0,0.9446
58,2.00,546,1,0.9436
59,-47.50,921,1,0.9427
60,-133.00,1024,0,0.9417
61,-33.50,839,1,0.9408
62,-1.00,618,1,0.9399
63,41.50,239,1,0.9389
64,14.00,598,1,0.9380
65,-31.00,796,1,0.9370
66,-35.50,879,1,0.9361
67,-3.00,602,1,0.9352
68,48.50,281,1,0.9342
69,-108.00,1024,0,0.9333
70,-102.00,1024,0,0.9324
71,-1.50,653,1,0.9314
72,-122.50,1024,0,0.9305
73,60.00,152,1,0.9296
74,49.00,302,1,0.9286
75,24.50,413,1,0.9277
76,41.50,277,1,0.9268
77,51.50,247,1,0.9259
78,40.00,272,1,0.9249
79,34.50,381,1,0.9240
80,50.00,222,1,0.9231
81,48.00,210,1,0.9222
82,64.00,164,1,0.9212
83,60.00,196,1,0.9203
84,-126.50,1024,0,0.9194
85,-1.00,638,1,0.9185
86,37.00,360,1,0.9176
87,12.00,460,1,0.9166
88,-40.50,789,1,0.9157
89,-98.00,1024,0,0.9148
90,-14.00,776,1,0.9139
91,45.50,207,1,0.9130
92,27.50,439,1,0.9121
93,49.50,269,1,0.9112
94,13.00,534,1,0.9102
95,49.50,271,1,0.9093
96,-31.00,996,1,0.9084
97,47.00,240,1,0.9075
98,51.50,249,1,0.9066
99,39.50,275,1,0.9057
100,49.00,242,1,0.9048
101,44.00,312,1,0.9039
102,23.50,421,1,0.9030
103,13.50,557,1,0.9021
104,26.50,527,1,0.9012
105,51.50,273,1,0.9003
106,-33.50,859,1,0.8994
107,12.00,574,1,0.8985
108,10.50,521,1,0.8976
109,12.00,462,1,0.8967
110,66.00,152,1,0.8958
111,-134.00,1024,0,0.8949
112,50.00,234,1,0.8940
113,48.00,242,1,0.8931
114,-48.50,1013,1,0.8922
115,23.00,372,1,0.8913
116,23.50,465,1,0.8904
117,55.00,270,1,0.8895
118,35.00,416,1,0.8886
119,39.50,273,1,0.8878
120,35.00,398,1,0.8869
121,50.50,279,1,0.8860
122,-1.50,577,1,0.8851
123,28.50,457,1,0.8842
124,54.50,241,1,0.8833
125,42.50,299,1,0.8824
126,46.00,226,1,0.8816
127,47.50,257,1,0.8807
128,51.00,270,1,0.8798
129,49.50,193,1,0.8789
130,29.50,415,1,0.8780
131,53.00,218,1,0.8772
132,3.50,563,1,0.8763
133,56.00,236,1,0.8754
134,50.50,223,1,0.8745
135,29.00,446,1,0.8737
136,44.50,271,1,0.8728
137,35.50,479,1,0.8719
138,60.00,154,1,0.8710
139,45.50,253,1,0.8702
140,18.50,453,1,0.8693
141,17.00,476,1,0.8684
142,26.00,460,1,0.8676
143,48.50,259,1,0.8667
144,45.00,292,1,0.8658
145,-13.50,781,1,0.8650
146,56.50,187,1,0.8641
147,60.50,171,1,0.8632
148,48.50,235,1,0.8624
149,55.50,205,1,0.8615
150,40.50,311,1,0.8606
151,59.00,226,1,0.8598
152,45.00,288,1,0.8589
153,66.00,100,1,0.8581
154,58.50,203,1,0.8572
155,36.50,409,1,0.8563
156,37.50,303,1,0.8555
157,38.00,332,1,0.8546
158,53.50,225,1,0.8538
159,5.50,641,1,0.8529
160,66.00,152,1,0.8521
161,67.00,120,1,0.8512
162,22.50,419,1,0.8504
163,38.50,327,1,0.8495
164,50.00,256,1,0.8487
165,66.50,111,1,0.8478
166,60.00,170,1,0.8470
167,56.50,249,1,0.8461
168,67.50,107,1,0.8453
169,56.50,203,1,0.8444
170,55.50,247,1,0.8436
171,42.50,277,1,0.8427
172,59.00,156,1,0.8419
173,63.50,115,1,0.8411
174,54.50,253,1,0.8402
175,-121.00,1024,0,0.8394
176,39.00,342,1,0.8385
177,46.00,246,1,0.8377
178,67.50,135,1,0.8369
179,49.50,263,1,0.8360
180,50.00,230,1,0.8352
181,69.00,128,1,0.8344
182,66.50,153,1,0.8335
183,50.50,233,1,0.8327
184,58.50,181,1,0.8319
185,46.00,324,1,0.8310
186,48.00,304,1,0.8302
187,61.50,133,1,0.8294
188,47.50,287,1,0.8285
189,51.50,233,1,0.8277
190,45.50,267,1,0.8269
191,52.50,247,1,0.8261
192,39.00,338,1,0.8252
193,51.50,197,1,0.8244
194,41.00,360,1,0.8236
195,35.50,353,1,0.8228
196,61.00,178,1,0.8219
197,54.00,238,1,0.8211
198,55.50,243,1,0.8203
199,43.00,240,1,0.8195
200,71.00,138,1,0.8186
201,51.50,233,1,0.8178
202,58.50,181,1,0.8170
203,46.00,258,1,0.8162
204,46.50,265,1,0.8154
205,64.00,162,1,0.8146
206,65.00,154,1,0.8137
207,-87.50,1024,0,0.8129
208,54.50,201,1,0.8121
209,68.00,96,1,0.8113
210,42.50,239,1,0.8105
211,49.00,258,1,0.8097
212,49.50,293,1,0.8089
213,40.50,443,1,0.8081
214,61.50,201,1,0.8073
215,59.00,192,1,0.8065
216,72.00,104,1,0.8056
217,69.00,128,1,0.8048
218,72.00,110,1,0.8040
219,73.00,110,1,0.8032
220,42.50,315,1,0.8024
221,57.50,235,1,0.8016
222,68.00,106,1,0.8008
223,47.50,385,1,0.8000
224,63.50,137,1,0.7992
225,65.50,155,1,0.7984
226,71.50,95,1,0.7976
227,62.00,140,1,0.7968
228,65.00,162,1,0.7960
229,55.50,165,1,0.7952
230,68.50,91,1,0.7944
231,63.00,134,1,0.7936
232,66.50,107,1,0.7929
233,57.00,198,1,0.7921
234,58.00,190,1,0.7913
235,61.00,200,1,0.7905
236,59.00,172,1,0.7897
237,57.50,195,1,0.7889
238,63.50,151,1,0.7881
239,53.00,296,1,0.7873
240,60.50,145,1,0.7865
241,62.50,191,1,0.7857
242,57.50,167,1,0.7850
243,62.00,192,1,0.7842
244,53.50,233,1,0.7834
245,63.00,112,1,0.7826
246,51.00,200,1,0.7818
247,64.00,228,1,0.7810
248,60.50,239,1,0.7803
249,58.00,174,1,0.7795
250,62.50,141,1,0.7787
251,63.50,107,1,0.7779
252,60.50,151,1,0.7771
253,62.00,150,1,0.7764
254,58.00,252,1,0.7756
255,57.00,238,1,0.7748
256,59.00,168,1,0.7740
257,67.50,113,1,0.7733
258,73.00,78,1,0.7725
259,69.50,115,1,0.7717
260,55.00,244,1,0.7710
261,39.00,356,1,0.7702
262,12.50,565,1,0.7694
263,68.50,129,1,0.7686
264,67.00,112,1,0.7679
265,61.50,143,1,0.7671
266,63.50,133,1,0.7663
267,67.50,89,1,0.7656
268,61.00,176,1,0.7648
269,69.50,123,1,0.7640
270,65.50,153,1,0.7633
271,62.00,120,1,0.7625
272,64.50,157,1,0.7618
273,76.00,50,1,0.7610
274,70.00,98,1,0.7602
275,38.50,359,1,0.7595
276,68.50,97,1,0.7587
277,65.50,131,1,0.7579
278,57.00,196,1,0.7572
279,53.50,239,1,0.7564
280,53.00,260,1,0.7557
281,64.00,122,1,0.7549
282,66.00,136,1,0.7542
283,72.00,88,1,0.7534
284,26.00,560,1,0.7527
285,68.50,107,1,0.7519
286,58.50,187,1,0.7512
287,69.00,130,1,0.7504
288,69.50,91,1,0.7497
289,66.00,138,1,0.7489
290,50.00,190,1,0.7482
291,68.00,134,1,0.7474
292,64.00,110,1,0.7467
293,64.50,173,1,0.7459
294,72.00,88,1,0.7452
295,62.50,155,1,0.7444
296,58.00,130,1,0.7437
297,67.50,137,1,0.7429
298,68.00,110,1,0.7422
299,66.50,127,1,0.7414
300,63.00,150,1,0.7407
301,45.00,348,1,0.7400
302,71.00,92,1,0.7392
303,64.50,121,1,0.7385
304,61.00,174,1,0.7377
305,64.50,155,1,0.7370
306,65.00,190,1,0.7363
307,65.50,145,1,0.7355
308,68.00,110,1,0.7348
309,66.50,135,1,0.7341
310,62.00,136,1,0.7333
311,64.00,150,1,0.7326
312,59.50,125,1,0.7319
313,68.50,175,1,0.7311
314,67.00,120,1,0.7304
315,66.00,180,1,0.7297
316,75.50,53,1,0.7289
317,66.50,137,1,0.7282
318,71.00,94,1,0.7275
319,68.50,131,1,0.7268
320,64.50,137,1,0.7260
321,67.00,124,1,0.7253
322,69.50,107,1,0.7246
323,57.50,185,1,0.7239
324,66.50,139,1,0.7231
325,70.00,94,1,0.7224
326,60.50,179,1,0.7217
327,76.50,65,1,0.7210
328,71.50,87,1,0.7202
329,68.00,124,1,0.7195
330,68.50,103,1,0.7188
331,67.50,129,1,0.7181
332,74.00,72,1,0.7174
333,69.50,109,1,0.7167
334,59.00,184,1,0.7159
335,73.00,94,1,0.7152
336,62.00,156,1,0.7145
337,65.00,128,1,0.7138
338,68.00,134,1,0.7131
339,69.50,97,1,0.7124
340,69.00,152,1,0.7116
341,74.00,96,1,0.7109
342,63.00,158,1,0.7102
343,71.50,107,1,0.7095
344,74.00,70,1,0.7088
345,64.50,111,1,0.7081
346,59.50,161,1,0.7074
347,66.00,158,1,0.7067
348,64.50,105,1,0.7060
349,66.00,176,1,0.7053
350,58.00,180,1,0.7046
351,69.00,130,1,0.7039
352,68.50,81,1,0.7032
353,66.50,107,1,0.7025
354,73.50,85,1,0.7018
355,70.00,98,1,0.7010
356,70.00,108,1,0.7003
357,72.50,77,1,0.6996
358,67.00,116,1,0.6989
359,74.00,76,1,0.6982
360,69.50,115,1,0.6976
361,69.00,114,1,0.6969
362,65.50,111,1,0.6962
363,71.50,113,1,0.6955
364,72.00,74,1,0.6948
365,71.50,97,1,0.6941
366,73.50,83,1,0.6934
367,70.50,103,1,0.6927
368,70.50,85,1,0.6920
369,65.00,110,1,0.6913
370,72.00,94,1,0.6906
371,70.00,96,1,0.6899
372,66.00,88,1,0.6892
373,74.00,80,1,0.6885
374,68.50,125,1,0.6878
375,72.00,82,1,0.6872
376,70.00,78,1,0.6865
377,69.50,95,1,0.6858
378,72.00,92,1,0.6851
379,70.00,100,1,0.6844
380,72.00,70,1,0.6837
381,71.50,85,1,0.6830
382,63.50,129,1,0.6824
383,74.00,78,1,0.6817
384,73.50,73,1,0.6810
385,73.50,55,1,0.6803
386,67.50,125,1,0.6796
387,70.00,72,1,0.6790
388,62.00,140,1,0.6783
389,71.00,116,1,0.6776
390,72.00,80,1,0.6769
391,71.00,90,1,0.6762
392,67.00,126,1,0.6756
393,74.00,78,1,0.6749
394,64.00,168,1,0.6742
395,72.00,108,1,0.6735
396,70.00,90,1,0.6729
397,70.00,88,1,0.6722
398,72.00,104,1,0.6715
399,75.50,75,1,0.6709
400,70.00,60,1,0.6702
401,73.50,75,1,0.6695
402,70.50,115,1,0.6688
403,72.00,80,1,0.6682
404,73.00,76,1,0.6675
405,72.00,90,1,0.6668
406,75.50,55,1,0.6662
407,72.50,77,1,0.6655
408,63.00,118,1,0.6648
409,67.00,118,1,0.6642
410,68.50,137,1,0.6635
411,66.50,97,1,0.6629
412,73.50,85,1,0.6622
