update,rollout_success,rollout_avg_len,policy_loss,value_loss,entropy,kl,clip_frac,eval_reached,eval_optimal,eval_tasks,eval_avg_len
1,1.0,156.0,0.002325895552833875,0.04351849791904291,0.09145618478457133,0.007533529152472814,0.08723958333333333,1,1,1,156.0
2,1.0,156.0,-0.0018466816594203312,0.006685859523713589,0.16749403377374014,0.0021354285224030414,0.044270833333333336,,,,
3,1.0,156.0,-0.0011217630623529355,0.006647200983328124,0.10400922099749248,0.0013157257344573736,0.026692708333333332,,,,
4,1.0,156.0,-0.0037464646932979426,0.003990116839607556,0.09398895998795827,0.002155749243684113,0.042317708333333336,,,,
5,1.0,156.0,0.00024112407118082047,0.0026274234211693206,0.08234422405560811,0.0001795695861801505,0.0,,,,
6,1.0,156.0,-0.0005205618217587471,0.002156148781068623,0.06992827355861664,0.00012789915005366007,0.0,,,,
7,1.0,156.0,-0.000498688779771328,0.002476160084673514,0.06144830832878748,7.379400388648112e-05,0.0006510416666666666,,,,
8,1.0,156.0,-0.0005794575748344263,0.0021212624851614237,0.06018312772115072,0.0003123699376980464,0.005208333333333333,,,,
9,1.0,156.66666666666666,-0.000601381373902162,0.004563779570162296,0.07028791308403015,0.0005818539454291264,0.010416666666666666,,,,
10,1.0,156.0,1.8525558213392895e-05,0.0018245928998415668,0.08673329403003056,4.707214732964833e-06,0.0,1,1,1,156.0
11,1.0,156.0,-6.650248542428017e-05,0.001576865518776079,0.07140850524107616,9.369725982348124e-06,0.0,,,,
12,1.0,156.0,-0.001392078585922718,0.0015059908425124984,0.07679748286803563,0.0002039309280614058,0.001953125,,,,
13,1.0,156.0,-0.0010315148780743282,0.0014128114368456106,0.07968754072984059,0.000730425623866419,0.016927083333333332,,,,
14,1.0,156.0,-0.00036112482969959575,0.0011375359414766233,0.07178535560766856,0.00013881145666042963,0.0,,,,
15,1.0,156.0,-5.9716093043486275e-05,0.0012176598732670147,0.11169404288132985,0.0001585565817852815,0.0,,,,
16,1.0,156.0,0.0004802863113582134,0.0008691463347834846,0.09412351747353871,0.00012203771620988846,0.0,,,,
17,1.0,156.0,-0.0005209843317667643,0.0008161018292109171,0.07697577029466629,0.00010849737251798312,0.0,,,,
18,1.0,156.66666666666666,-0.0016057612374424934,0.002193864512567719,0.07617341230312984,0.000396509460794429,0.006510416666666667,,,,
19,1.0,156.0,-0.0012259983147184055,0.0010677821701392531,0.08618948360284169,0.0014295040164142847,0.028645833333333332,,,,
20,1.0,156.0,0.0002899114042520523,0.0009617460697578887,0.08939621845881145,0.00011007507176448901,0.0,1,1,1,156.0
