update,rollout_success,rollout_avg_len,policy_loss,value_loss,entropy,kl,clip_frac,eval_reached,eval_optimal,eval_tasks,eval_avg_len
1,1.0,276.0,0.00042573890338341397,0.006464591599069536,0.11006695280472438,0.00990209107597669,0.11002604166666667,1,1,1,276.0
2,1.0,276.0,3.168980280558268e-06,0.0032431856961920857,0.10036182403564453,0.0019893199981500707,0.036458333333333336,,,,
3,1.0,276.0,-0.0003979671746492386,0.0017234832048416138,0.12778873244921365,0.00022532371804118156,0.005208333333333333,,,,
4,1.0,276.0,-0.0008751776379843553,0.0016724913342234988,0.11209839085737865,0.0004994476912543178,0.006510416666666667,,,,
5,1.0,276.0,-0.0002908129245042801,0.0013860961965595682,0.1123341719309489,0.0007939344504848123,0.015625,,,,
6,1.0,276.0,-0.00031830649822950363,0.0014610632594364386,0.11448670675357182,0.0006358456642677387,0.007161458333333333,,,,
7,1.0,276.0,-0.0007289284064124028,0.0013160525510708492,0.1068091168999672,0.00015382216467211643,0.0006510416666666666,,,,
8,1.0,276.0,0.000200012077887853,0.00133574812207371,0.13067771991093954,0.0004063884261995554,0.004557291666666667,,,,
9,1.0,276.0,-0.003658875202139219,0.001019131518357123,0.12372612704833348,0.004166138280803959,0.061197916666666664,,,,
10,1.0,276.0,-0.0010365076983968418,0.0009303864208050072,0.09309654186169307,0.001944954157806933,0.03125,1,1,1,276.0
11,1.0,276.0,-0.0028390934069951377,0.0009649202693253756,0.05885721743106842,0.0004745774980013569,0.005208333333333333,,,,
12,1.0,276.0,-0.0008311834341535965,0.0010702833727312584,0.03997000058492025,7.377599831670523e-05,0.0,,,,
13,1.0,276.0,-0.0009421057378252348,0.001025788641224305,0.02733578346669674,0.00031498761381953955,0.007161458333333333,,,,
14,1.0,276.0,-0.0003496698724726836,0.0009494921347747246,0.028108987336357433,0.0003767684878160556,0.005859375,,,,
15,1.0,276.0,-0.0016441401094198227,0.0026014895799259343,0.019049054632584255,0.0001578526571393013,0.0026041666666666665,,,,
16,1.0,276.0,0.00011531791339317958,0.0006868587030718724,0.013429356428484121,6.90106147279342e-06,0.0,,,,
17,1.0,276.0,-0.000726496335119009,0.0008110680500976741,0.014093317712346712,0.0001192279936124881,0.0026041666666666665,,,,
18,1.0,276.0,6.171409040689468e-05,0.0007415975754459699,0.010805969126522541,7.762185608347257e-07,0.0,,,,
19,1.0,276.0,-1.0490805531541506e-05,0.0006887948838993907,0.01063412024329106,2.0372681319713593e-07,0.0,,,,
20,1.0,276.0,-0.0008866175388296446,0.0006656328138584892,0.014236961801846823,0.00018390861805528402,0.0026041666666666665,1,1,1,276.0
