episode,total_reward,steps,solved,ppo_update
1,25.10,30,1,1
2,25.10,30,1,1
3,25.10,30,1,1
4,25.10,30,1,1
5,25.10,30,1,1
6,25.10,30,1,1
7,25.10,30,1,1
8,25.10,30,1,1
9,25.10,30,1,1
10,25.10,30,1,1
11,25.10,30,1,1
12,25.10,30,1,1
13,25.10,30,1,1
14,25.10,30,1,1
15,25.10,30,1,1
16,25.10,30,1,1
17,25.10,30,1,1
18,25.10,30,1,2
19,25.10,30,1,2
20,25.10,30,1,2
21,25.10,30,1,2
22,25.10,30,1,2
23,25.10,30,1,2
24,25.10,30,1,2
25,25.10,30,1,2
26,25.10,30,1,2
27,25.10,30,1,2
28,25.10,30,1,2
29,25.10,30,1,2
30,25.10,30,1,2
31,25.10,30,1,2
32,25.10,30,1,2
33,25.10,30,1,2
34,25.10,30,1,2
35,25.10,30,1,3
36,25.10,30,1,3
37,25.10,30,1,3
38,25.10,30,1,3
39,25.10,30,1,3
40,25.10,30,1,3
41,25.10,30,1,3
42,25.10,30,1,3
43,25.10,30,1,3
44,25.10,30,1,3
45,25.10,30,1,3
46,25.10,30,1,3
47,25.10,30,1,3
48,25.10,30,1,3
49,25.10,30,1,3
50,25.10,30,1,3
51,25.10,30,1,3
52,25.10,30,1,4
53,25.10,30,1,4
54,25.10,30,1,4
55,25.10,30,1,4
56,25.10,30,1,4
57,25.10,30,1,4
58,25.10,30,1,4
59,25.10,30,1,4
60,25.10,30,1,4
61,25.10,30,1,4
62,25.10,30,1,4
63,25.10,30,1,4
64,25.10,30,1,4
65,25.10,30,1,4
66,25.10,30,1,4
67,25.10,30,1,4
68,25.10,30,1,4
69,25.10,30,1,5
70,25.10,30,1,5
71,25.10,30,1,5
72,25.10,30,1,5
73,25.10,30,1,5
74,25.10,30,1,5
75,25.10,30,1,5
76,25.10,30,1,5
77,25.10,30,1,5
78,25.10,30,1,5
79,25.10,30,1,5
80,25.10,30,1,5
81,25.10,30,1,5
82,25.10,30,1,5
83,25.10,30,1,5
84,25.10,30,1,5
85,25.10,30,1,5
86,25.10,30,1,6
87,25.10,30,1,6
88,25.10,30,1,6
89,25.10,30,1,6
90,25.10,30,1,6
91,25.10,30,1,6
92,25.10,30,1,6
93,25.10,30,1,6
94,25.10,30,1,6
95,25.10,30,1,6
96,25.10,30,1,6
97,25.10,30,1,6
98,25.10,30,1,6
99,25.10,30,1,6
100,25.10,30,1,6
101,25.10,30,1,6
102,25.10,30,1,6
103,25.10,30,1,7
104,25.10,30,1,7
105,25.10,30,1,7
106,25.10,30,1,7
107,25.10,30,1,7
108,25.10,30,1,7
109,25.10,30,1,7
110,25.10,30,1,7
111,25.10,30,1,7
112,25.10,30,1,7
113,25.10,30,1,7
114,25.10,30,1,7
115,25.10,30,1,7
116,25.10,30,1,7
117,25.10,30,1,7
118,25.10,30,1,7
119,25.10,30,1,7
120,25.10,30,1,8
121,25.10,30,1,8
122,25.10,30,1,8
123,25.10,30,1,8
124,25.10,30,1,8
125,25.10,30,1,8
126,25.10,30,1,8
127,25.10,30,1,8
128,25.10,30,1,8
129,25.10,30,1,8
130,25.10,30,1,8
131,25.10,30,1,8
132,25.10,30,1,8
133,25.10,30,1,8
134,25.10,30,1,8
135,25.10,30,1,8
136,25.10,30,1,8
137,25.10,30,1,9
138,25.10,30,1,9
139,25.10,30,1,9
140,25.10,30,1,9
141,25.10,30,1,9
142,25.10,30,1,9
143,25.10,30,1,9
144,25.10,30,1,9
145,25.10,30,1,9
146,25.10,30,1,9
147,25.10,30,1,9
148,25.10,30,1,9
149,25.10,30,1,9
150,25.10,30,1,9
151,25.10,30,1,9
152,25.10,30,1,9
153,25.10,30,1,9
154,25.10,30,1,10
155,25.10,30,1,10
156,25.10,30,1,10
157,25.10,30,1,10
158,25.10,30,1,10
159,25.10,30,1,10
160,25.10,30,1,10
161,25.10,30,1,10
162,25.10,30,1,10
163,25.10,30,1,10
164,25.10,30,1,10
165,25.10,30,1,10
166,25.10,30,1,10
167,25.10,30,1,10
168,25.10,30,1,10
169,25.10,30,1,10
170,25.10,30,1,10
171,25.10,30,1,11
172,25.10,30,1,11
173,25.10,30,1,11
174,25.10,30,1,11
175,25.10,30,1,11
176,25.10,30,1,11
177,25.10,30,1,11
178,25.10,30,1,11
179,25.10,30,1,11
180,25.10,30,1,11
181,25.10,30,1,11
182,25.10,30,1,11
183,25.10,30,1,11
184,25.10,30,1,11
185,25.10,30,1,11
186,25.10,30,1,11
187,25.10,30,1,11
188,25.10,30,1,12
189,25.10,30,1,12
190,25.10,30,1,12
191,25.10,30,1,12
192,25.10,30,1,12
193,25.10,30,1,12
194,25.10,30,1,12
195,25.10,30,1,12
196,25.10,30,1,12
197,25.10,30,1,12
198,25.10,30,1,12
199,25.10,30,1,12
200,25.10,30,1,12
201,25.10,30,1,12
202,25.10,30,1,12
203,25.10,30,1,12
204,25.10,30,1,12
205,25.10,30,1,13
206,25.10,30,1,13
207,25.10,30,1,13
208,25.10,30,1,13
209,25.10,30,1,13
210,25.10,30,1,13
211,25.10,30,1,13
212,25.10,30,1,13
213,25.10,30,1,13
214,25.10,30,1,13
215,25.10,30,1,13
216,25.10,30,1,13
217,25.10,30,1,13
218,25.10,30,1,13
219,25.10,30,1,13
220,25.10,30,1,13
221,25.10,30,1,13
222,25.10,30,1,14
223,25.10,30,1,14
224,25.10,30,1,14
225,25.10,30,1,14
226,25.10,30,1,14
227,25.10,30,1,14
228,25.10,30,1,14
229,25.10,30,1,14
230,25.10,30,1,14
231,25.10,30,1,14
232,25.10,30,1,14
233,25.10,30,1,14
234,25.10,30,1,14
235,25.10,30,1,14
236,25.10,30,1,14
237,25.10,30,1,14
238,25.10,30,1,14
239,25.10,30,1,15
240,25.10,30,1,15
241,25.10,30,1,15
242,25.10,30,1,15
243,25.10,30,1,15
244,25.10,30,1,15
245,25.10,30,1,15
246,25.02,32,1,15
247,25.10,30,1,15
248,25.10,30,1,15
249,25.10,30,1,15
250,25.10,30,1,15
251,25.10,30,1,15
252,25.10,30,1,15
253,25.10,30,1,15
254,25.10,30,1,15
255,25.10,30,1,15
256,25.10,30,1,16
257,25.10,30,1,16
258,25.10,30,1,16
259,25.10,30,1,16
260,25.10,30,1,16
261,25.10,30,1,16
262,25.10,30,1,16
263,25.10,30,1,16
264,25.10,30,1,16
265,25.10,30,1,16
266,25.10,30,1,16
267,25.10,30,1,16
268,25.10,30,1,16
269,25.10,30,1,16
270,25.10,30,1,16
271,25.10,30,1,16
272,25.10,30,1,16
273,25.10,30,1,17
274,25.10,30,1,17
275,25.10,30,1,17
276,25.10,30,1,17
277,25.10,30,1,17
278,25.10,30,1,17
279,25.10,30,1,17
280,25.10,30,1,17
281,25.10,30,1,17
282,25.10,30,1,17
283,25.10,30,1,17
284,25.10,30,1,17
285,25.10,30,1,17
286,25.10,30,1,17
287,25.10,30,1,17
288,25.10,30,1,17
289,25.10,30,1,17
290,25.10,30,1,18
291,25.10,30,1,18
292,25.10,30,1,18
293,25.10,30,1,18
294,25.10,30,1,18
295,25.10,30,1,18
296,25.10,30,1,18
297,25.10,30,1,18
298,25.10,30,1,18
299,25.10,30,1,18
300,25.10,30,1,18
301,25.10,30,1,18
302,25.10,30,1,18
303,25.10,30,1,18
304,25.10,30,1,18
305,25.10,30,1,18
306,25.10,30,1,18
307,25.10,30,1,19
308,25.10,30,1,19
309,25.10,30,1,19
310,25.10,30,1,19
311,25.10,30,1,19
312,25.10,30,1,19
313,25.10,30,1,19
314,25.10,30,1,19
315,25.10,30,1,19
316,25.10,30,1,19
317,25.10,30,1,19
318,25.02,32,1,19
319,25.10,30,1,19
320,25.10,30,1,19
321,25.10,30,1,19
322,25.10,30,1,19
323,25.10,30,1,19
324,25.10,30,1,20
325,25.10,30,1,20
326,25.10,30,1,20
327,25.10,30,1,20
328,25.10,30,1,20
329,25.10,30,1,20
330,25.10,30,1,20
331,25.10,30,1,20
332,25.10,30,1,20
333,25.10,30,1,20
334,25.10,30,1,20
335,25.10,30,1,20
336,25.10,30,1,20
337,25.10,30,1,20
338,25.10,30,1,20
339,25.10,30,1,20
340,25.10,30,1,20
