episode,total_reward,steps,solved,avg_loss,epsilon
139,-2913.25,2500,0,0.0000,1.0000
140,-3173.25,2500,0,0.0000,1.0000
141,-2937.75,2500,0,0.0000,1.0000
142,-3138.50,2500,0,0.0000,1.0000
143,-2832.25,2500,0,0.0000,1.0000
144,-3181.50,2500,0,0.0000,1.0000
145,-2908.50,2500,0,0.0000,1.0000
146,-2991.25,2500,0,0.0000,1.0000
147,-3056.00,2500,0,0.0000,1.0000
148,-2938.25,2500,0,0.0000,1.0000
149,-2857.00,2500,0,0.0000,1.0000
150,-3045.00,2500,0,0.0000,1.0000
151,-2938.00,2500,0,0.0000,1.0000
152,-2865.75,2500,0,0.0000,1.0000
153,-3128.25,2500,0,0.0000,1.0000
154,-3166.50,2500,0,0.0000,1.0000
155,-3084.25,2500,0,0.0000,1.0000
156,-2984.50,2500,0,0.0000,1.0000
157,-2679.75,2500,0,0.0000,1.0000
158,-3058.50,2500,0,0.0000,1.0000
159,-3234.00,2500,0,0.0000,1.0000
160,-3300.50,2500,0,0.0000,1.0000
161,-2916.25,2500,0,0.0000,1.0000
162,-3303.25,2500,0,0.0000,1.0000
163,-3093.00,2500,0,0.0000,1.0000
164,-2989.00,2500,0,0.0000,1.0000
165,-3267.50,2500,0,0.0000,1.0000
166,-3281.00,2500,0,0.0000,1.0000
167,-2917.00,2500,0,0.0000,1.0000
168,-3242.25,2500,0,0.0000,1.0000
169,-3046.25,2500,0,0.0000,1.0000
170,-2940.00,2500,0,0.0000,1.0000
171,-3147.50,2500,0,0.0000,1.0000
172,-3014.25,2500,0,0.0000,1.0000
173,-2860.50,2500,0,0.0000,1.0000
174,-3030.50,2500,0,0.0000,1.0000
175,-3014.25,2500,0,0.0000,1.0000
176,-3310.00,2500,0,0.0000,1.0000
177,-2767.00,2500,0,0.0000,1.0000
178,-2778.00,2500,0,0.0000,1.0000
179,-3027.00,2500,0,0.0000,1.0000
180,-2801.25,2500,0,0.0000,1.0000
181,-3025.00,2500,0,0.0000,1.0000
182,-2905.50,2500,0,0.0000,1.0000
183,-3136.00,2500,0,0.0000,1.0000
184,-2868.75,2500,0,0.0000,1.0000
185,-2915.25,2500,0,0.0000,1.0000
186,-3063.25,2500,0,0.0000,1.0000
187,-2930.00,2500,0,0.0000,1.0000
188,-3023.50,2500,0,0.0000,1.0000
189,-2955.25,2500,0,0.0000,1.0000
190,-3185.00,2500,0,0.0000,1.0000
191,-2945.75,2500,0,0.0000,1.0000
192,-2991.00,2500,0,0.0000,1.0000
193,-3280.50,2500,0,0.0000,1.0000
194,-3006.75,2500,0,0.0000,1.0000
195,-3039.50,2500,0,0.0000,1.0000
196,-2960.50,2500,0,0.0000,1.0000
197,-2976.00,2500,0,0.0000,1.0000
198,-3174.00,2500,0,0.0000,1.0000
199,-2843.75,2500,0,0.0000,1.0000
200,-3033.00,2500,0,0.0000,1.0000
201,-3039.75,2500,0,0.0000,1.0000
202,-2910.00,2500,0,0.0000,1.0000
203,-3147.25,2500,0,0.0000,1.0000
204,-3235.00,2500,0,0.0000,1.0000
205,-3024.00,2500,0,0.0000,1.0000
206,-3275.00,2500,0,0.0000,1.0000
207,-3050.00,2500,0,0.0000,1.0000
208,-2983.50,2500,0,0.0000,1.0000
209,-3125.25,2500,0,0.0000,1.0000
210,-3111.00,2500,0,0.0000,1.0000
211,-3008.25,2500,0,0.0000,1.0000
212,-2750.75,2500,0,0.0000,1.0000
213,-3154.50,2500,0,0.0000,1.0000
214,-3291.25,2500,0,0.0000,1.0000
215,-2895.25,2500,0,0.0000,1.0000
216,-3201.75,2500,0,0.0000,1.0000
217,-2877.75,2500,0,0.0000,1.0000
218,-3251.00,2500,0,0.0000,1.0000
219,-2821.00,2500,0,0.0000,1.0000
220,-3004.50,2500,0,0.0000,1.0000
221,-2818.25,2500,0,0.0000,1.0000
222,-2985.50,2500,0,0.0000,1.0000
223,-3055.25,2500,0,0.0000,1.0000
224,-3050.00,2500,0,0.0000,1.0000
225,-3212.25,2500,0,0.0000,1.0000
226,-2812.25,2500,0,0.0000,1.0000
227,-3025.50,2500,0,0.0000,1.0000
228,-2958.25,2500,0,0.0000,1.0000
229,-2895.50,2500,0,0.0000,1.0000
230,-3193.25,2500,0,0.0000,1.0000
231,-3003.00,2500,0,0.0000,1.0000
232,-3014.00,2500,0,0.0000,1.0000
233,-2969.50,2500,0,0.0000,1.0000
234,-2917.25,2500,0,0.0000,1.0000
235,-3312.50,2500,0,0.0000,1.0000
236,-3012.25,2500,0,0.0000,1.0000
237,-2829.75,2500,0,0.0000,1.0000
238,-2820.75,2500,0,0.0000,1.0000
239,-3045.75,2500,0,0.0000,1.0000
240,-3051.00,2500,0,0.0000,1.0000
241,-2827.50,2500,0,0.0000,1.0000
242,-2916.50,2500,0,0.0000,1.0000
243,-2815.00,2500,0,0.0000,1.0000
244,-3228.75,2500,0,0.0000,1.0000
245,-2988.25,2500,0,0.0000,1.0000
246,-2975.50,2500,0,0.0000,1.0000
247,-3332.00,2500,0,0.0000,1.0000
248,-3075.00,2500,0,0.0000,1.0000
249,-2925.75,2500,0,0.0000,1.0000
250,-3164.25,2500,0,0.0000,1.0000
251,-3163.25,2500,0,0.0000,1.0000
252,-3197.75,2500,0,0.0000,1.0000
253,-3001.25,2500,0,0.0000,1.0000
254,-2932.25,2500,0,0.0000,1.0000
255,-2862.75,2500,0,0.0000,1.0000
256,-3028.25,2500,0,0.0000,1.0000
257,-3062.50,2500,0,0.0000,1.0000
258,-3141.50,2500,0,0.0000,1.0000
259,-3182.00,2500,0,0.0000,1.0000
260,-2731.25,2500,0,0.0000,1.0000
261,-3054.00,2500,0,0.0000,1.0000
262,-2500.25,2500,0,0.0000,1.0000
263,-3158.00,2500,0,0.0000,1.0000
264,-2925.50,2500,0,0.0000,1.0000
265,-2818.25,2500,0,0.0000,1.0000
266,-3034.25,2500,0,0.0000,1.0000
267,-3056.50,2500,0,0.0000,1.0000
268,-3175.25,2500,0,0.0000,1.0000
269,-2899.25,2500,0,0.0000,1.0000
270,-2721.50,2500,0,0.0000,1.0000
271,-3166.00,2500,0,0.0000,1.0000
272,-3017.00,2500,0,0.0000,1.0000
273,-3348.25,2500,0,0.0000,1.0000
274,-2919.25,2500,0,0.0000,1.0000
275,-3046.00,2500,0,0.0000,1.0000
276,-3000.50,2500,0,0.0000,1.0000
277,-3225.75,2500,0,0.0000,1.0000
278,-2903.75,2500,0,0.0000,1.0000
279,-2860.25,2500,0,0.0000,1.0000
280,-2689.75,2500,0,0.0000,1.0000
281,-3131.00,2500,0,0.0000,1.0000
282,-2889.25,2500,0,0.0000,1.0000
283,-3234.25,2500,0,0.0000,1.0000
284,-2853.75,2500,0,0.0000,1.0000
285,-3152.50,2500,0,0.0000,1.0000
286,-3186.00,2500,0,0.0000,1.0000
287,-3041.00,2500,0,0.0000,1.0000
288,-3228.50,2500,0,0.0000,1.0000
289,-3348.50,2500,0,0.0000,1.0000
290,-3060.75,2500,0,0.0000,1.0000
291,-2744.00,2500,0,0.0000,1.0000
292,-2944.75,2500,0,0.0000,1.0000
293,-3114.00,2500,0,0.0000,1.0000
294,-3033.50,2500,0,0.0000,1.0000
295,-3014.75,2500,0,0.0000,1.0000
296,-3099.50,2500,0,0.0000,1.0000
297,-2948.75,2500,0,0.0000,1.0000
298,-2833.00,2500,0,0.0000,1.0000
299,-3259.00,2500,0,0.0000,1.0000
300,-3306.25,2500,0,0.0000,1.0000
301,-2911.00,2500,0,0.0000,1.0000
302,-2969.50,2500,0,0.0000,1.0000
303,-2934.00,2500,0,0.0000,1.0000
304,-3032.00,2500,0,0.0000,1.0000
305,-3110.25,2500,0,0.0000,1.0000
306,-2943.50,2500,0,0.0000,1.0000
307,-2811.00,2500,0,0.0000,1.0000
308,-2769.25,2500,0,0.0000,1.0000
309,-3003.25,2500,0,0.0000,1.0000
310,-3070.25,2500,0,0.0000,1.0000
311,-3012.00,2500,0,0.0000,1.0000
312,-3031.00,2500,0,0.0000,1.0000
313,-3322.50,2500,0,0.0000,1.0000
314,-3016.75,2500,0,0.0000,1.0000
315,-3131.00,2500,0,0.0000,1.0000
316,-3133.00,2500,0,0.0000,1.0000
317,-3159.50,2500,0,0.0000,1.0000
318,-2964.75,2500,0,0.0000,1.0000
319,-2329.75,2500,0,0.0000,1.0000
320,-2980.75,2500,0,0.0000,1.0000
321,-2895.00,2500,0,0.0000,1.0000
322,-3089.25,2500,0,0.0000,1.0000
323,-2904.00,2500,0,0.0000,1.0000
324,-3166.75,2500,0,0.0000,1.0000
325,-3066.25,2500,0,0.0000,1.0000
326,-3068.00,2500,0,0.0000,1.0000
327,-2841.25,2500,0,0.0000,1.0000
328,-3146.75,2500,0,0.0000,1.0000
329,-2947.25,2500,0,0.0000,1.0000
330,-2825.00,2500,0,0.0000,1.0000
331,-3173.50,2500,0,0.0000,1.0000
332,-2932.00,2500,0,0.0000,1.0000
333,-3313.50,2500,0,0.0000,1.0000
334,-3143.75,2500,0,0.0000,1.0000
335,-2859.25,2500,0,0.0000,1.0000
336,-2831.25,2500,0,0.0000,1.0000
337,-2985.50,2500,0,0.0000,1.0000
338,-2851.00,2500,0,0.0000,1.0000
339,-2905.50,2500,0,0.0000,1.0000
340,-2804.25,2500,0,0.0000,1.0000
341,-2855.25,2500,0,0.0000,1.0000
342,-2931.25,2500,0,0.0000,1.0000
343,-3126.50,2500,0,0.0000,1.0000
344,-3248.50,2500,0,0.0000,1.0000
345,-3039.50,2500,0,0.0000,1.0000
346,-2932.00,2500,0,0.0000,1.0000
347,-3055.50,2500,0,0.0000,1.0000
348,-3029.50,2500,0,0.0000,1.0000
349,-2936.75,2500,0,0.0000,1.0000
350,-2757.50,2500,0,0.0000,1.0000
351,-3056.00,2500,0,0.1454,0.9970
352,-3107.75,2500,0,0.0885,0.9940
353,-3203.00,2500,0,0.0907,0.9910
354,-2927.25,2500,0,0.1010,0.9881
355,-2897.50,2500,0,0.1092,0.9851
356,-2739.25,2500,0,0.1056,0.9821
357,-2882.75,2500,0,0.1153,0.9792
358,-3010.25,2500,0,0.1165,0.9763
359,-2955.50,2500,0,0.1231,0.9733
360,-3076.25,2500,0,0.1265,0.9704
361,-3054.75,2500,0,0.1374,0.9675
362,-3157.25,2500,0,0.1288,0.9646
363,-2807.50,2500,0,0.1335,0.9617
364,-3064.00,2500,0,0.1447,0.9588
365,-2900.00,2500,0,0.1324,0.9559
366,-3240.75,2500,0,0.1429,0.9531
367,-2912.00,2500,0,0.1391,0.9502
368,-2649.50,2500,0,0.1559,0.9474
369,-2854.25,2500,0,0.1492,0.9445
370,-2648.00,2500,0,0.1422,0.9417
371,-2663.50,2500,0,0.1460,0.9389
372,-2659.50,2500,0,0.1460,0.9360
373,-2997.00,2500,0,0.1486,0.9332
374,-2966.25,2500,0,0.1458,0.9304
375,-2975.75,2500,0,0.1463,0.9276
376,-3010.50,2500,0,0.1441,0.9249
377,-3044.50,2500,0,0.1513,0.9221
378,-3048.50,2500,0,0.1442,0.9193
379,-3044.00,2500,0,0.1549,0.9166
380,-3041.50,2500,0,0.1633,0.9138
381,-3235.50,2500,0,0.1560,0.9111
382,-2653.50,2500,0,0.1571,0.9083
383,-3195.25,2500,0,0.1467,0.9056
