episode,total_reward,steps,solved,avg_loss,epsilon
1,-1804.75,1522,1,0.0000,1.0000
2,-1762.50,1534,1,0.0000,1.0000
3,-3197.25,2578,1,0.0000,1.0000
4,-2050.25,1733,1,0.0000,1.0000
5,-1750.00,1497,1,0.0000,1.0000
6,-1061.50,990,1,0.0000,1.0000
7,-883.25,809,1,0.0000,1.0000
8,-4510.50,3538,1,0.0000,1.0000
9,-875.75,841,1,0.0000,1.0000
10,-4128.25,3296,1,0.0000,1.0000
11,-2643.00,2234,1,0.0000,1.0000
12,-1513.50,1343,1,0.0000,1.0000
13,-2123.00,1829,1,0.0000,1.0000
14,-1058.00,1004,1,0.0000,1.0000
15,-2338.25,1969,1,0.0000,1.0000
16,-2706.00,2233,1,0.0000,1.0000
17,-3066.00,2516,1,0.0000,1.0000
18,-439.50,518,1,0.0000,1.0000
19,-1283.00,1158,1,0.0000,1.0000
20,-2229.75,1867,1,0.0000,1.0000
21,-4770.00,3667,1,0.0000,1.0000
22,-1817.75,1524,1,0.0000,1.0000
23,-5472.50,4224,1,0.0000,1.0000
24,-6244.25,4812,1,0.0000,1.0000
25,-299.50,422,1,0.0000,1.0000
26,-6276.75,4779,1,0.0000,1.0000
27,-1303.75,1207,1,0.0000,1.0000
28,-4777.00,3767,1,0.0000,1.0000
29,-5147.50,3955,1,0.0000,1.0000
30,-3148.25,2571,1,0.0000,1.0000
31,-1219.00,1165,1,0.0000,1.0000
32,-965.75,948,1,0.0000,1.0000
33,-4493.00,3561,1,0.0000,1.0000
34,-3317.75,2662,1,0.0000,1.0000
35,-1286.50,1124,1,0.0000,1.0000
36,-6314.75,4900,0,0.0000,1.0000
37,-345.25,437,1,0.0000,1.0000
38,-3865.00,3027,1,0.0000,1.0000
39,-1219.75,1086,1,0.0000,1.0000
40,-405.75,460,1,0.0000,1.0000
41,-4198.00,3281,1,0.0000,1.0000
42,-1694.50,1488,1,0.0000,1.0000
43,-2561.25,2120,1,0.0000,1.0000
44,-3649.00,2931,1,0.0000,1.0000
45,-2029.50,1701,1,0.0000,1.0000
46,-333.25,410,1,0.0000,1.0000
47,-312.50,417,1,0.0000,1.0000
48,-1040.25,1002,1,0.0000,1.0000
49,-6444.75,4900,0,0.0000,1.0000
50,-490.75,531,1,0.0000,1.0000
51,-3275.75,2603,1,0.0000,1.0000
52,-2023.50,1709,1,0.0000,1.0000
53,-1168.75,1120,1,0.0000,1.0000
54,-6375.00,4900,0,0.0000,1.0000
55,-5405.00,4208,1,0.0000,1.0000
56,-1086.50,1000,1,0.0000,1.0000
57,-1575.50,1392,1,0.0000,1.0000
58,-6260.00,4896,1,0.0000,1.0000
59,-4049.50,3206,1,0.0000,1.0000
60,-112.00,248,1,0.0000,1.0000
61,-1128.00,1089,1,0.0000,1.0000
62,-1719.00,1516,1,0.0000,1.0000
63,-3255.00,2647,1,0.0000,1.0000
64,-5716.00,4415,1,0.0000,1.0000
65,-6350.50,4900,0,0.0000,1.0000
66,-5858.25,4547,1,0.0000,1.0000
67,-1417.75,1292,1,0.0000,1.0000
68,-1821.50,1587,1,0.0000,1.0000
69,-3696.00,2979,1,0.0000,1.0000
70,-597.25,638,1,0.0000,1.0000
71,-4028.50,3145,1,0.0000,1.0000
72,-3764.50,2994,1,0.0000,1.0000
73,-403.50,524,1,0.0000,1.0000
74,-6433.00,4900,0,0.0000,1.0000
75,-3382.50,2755,1,0.0000,1.0000
76,-1253.75,1139,1,0.0000,1.0000
77,-2933.75,2349,1,0.0000,1.0000
78,-1118.00,1072,1,0.0000,1.0000
79,-396.00,487,1,0.0000,1.0000
80,-6137.75,4766,1,0.0000,1.0000
81,-4611.50,3580,1,0.0000,1.0000
82,-1597.25,1387,1,0.0000,1.0000
83,-1136.50,1084,1,0.0000,1.0000
84,-2868.50,2291,1,0.0000,1.0000
85,-1330.00,1176,1,0.0000,1.0000
86,-877.50,890,1,0.0000,1.0000
87,-648.25,740,1,0.0000,1.0000
88,-1150.25,1019,1,0.0000,1.0000
89,-5655.50,4347,1,0.0000,1.0000
90,-295.75,375,1,0.0000,1.0000
91,-3683.25,2881,1,0.0000,1.0000
92,-1548.75,1367,1,0.0000,1.0000
93,-2599.75,2140,1,0.0000,1.0000
94,-399.00,479,1,0.0000,1.0000
95,-6117.75,4736,1,0.0000,1.0000
96,-1002.75,942,1,0.0000,1.0000
97,-2929.25,2381,1,0.0000,1.0000
98,-369.25,476,1,0.0000,1.0000
99,-2253.50,1855,1,0.0000,1.0000
100,-1039.75,1006,1,0.0000,1.0000
101,-1135.75,1066,1,0.0000,1.0000
102,-5056.75,3943,1,0.0000,1.0000
103,-3723.75,2969,1,0.0000,1.0000
104,-2750.00,2287,1,0.0000,1.0000
105,-4974.50,3905,1,0.0000,1.0000
106,-3915.00,3118,1,0.0000,1.0000
107,-3943.75,3101,1,0.0000,1.0000
108,-3606.25,2866,1,0.0000,1.0000
109,-6463.00,4900,0,0.0000,1.0000
110,-518.00,576,1,0.0000,1.0000
111,-4950.00,3839,1,0.0000,1.0000
112,-1541.25,1405,1,0.0000,1.0000
113,-1549.00,1422,1,0.0000,1.0000
114,-5159.00,4029,1,0.0000,1.0000
115,-4558.75,3532,1,0.0000,1.0000
116,-965.00,941,1,0.0000,1.0000
117,-2068.50,1720,1,0.0000,1.0000
118,-3713.00,2959,1,0.0000,1.0000
119,-4841.25,3708,1,0.0000,1.0000
120,-4351.75,3413,1,0.0000,1.0000
121,-1777.25,1550,1,0.0000,1.0000
122,-3977.50,3119,1,0.0000,1.0000
123,-5326.00,4102,1,0.0000,1.0000
124,-4313.50,3395,1,0.0000,1.0000
125,-6409.50,4900,0,0.0000,1.0000
126,-972.75,917,1,0.0000,1.0000
127,-1145.00,1060,1,0.0000,1.0000
128,-1199.75,1077,1,0.0000,1.0000
129,-1948.00,1713,1,0.0000,1.0000
130,-1937.00,1636,1,0.0000,1.0000
131,-914.50,884,1,0.0000,1.0000
132,-5181.75,4037,1,0.0000,1.0000
133,-1725.00,1527,1,0.0000,1.0000
134,-5885.50,4560,1,0.0000,1.0000
135,-5327.00,4135,1,0.0000,1.0000
