episode,total_reward,steps,solved,avg_loss,epsilon
1,-1062.75,1024,0,0.0000,0.9970
2,-1118.25,1024,0,0.0000,0.9940
3,-1050.25,1024,0,0.0000,0.9910
4,-1059.25,1024,0,0.0000,0.9881
5,-685.25,805,1,0.0000,0.9851
6,-239.75,392,1,0.0000,0.9821
7,-1130.00,1024,0,0.0000,0.9792
8,-737.75,781,1,0.0000,0.9763
9,-1111.00,1024,0,0.0000,0.9733
10,-754.75,860,1,0.0000,0.9704
11,-1123.25,1024,0,0.0000,0.9675
12,-1061.25,1024,0,0.0000,0.9646
13,-510.50,622,1,0.0000,0.9617
14,-1186.25,1024,0,0.0000,0.9588
15,-466.00,551,1,0.0000,0.9559
16,-1197.75,1024,0,0.0000,0.9531
17,-603.75,689,1,0.0000,0.9502
18,-1142.25,1024,0,0.0000,0.9474
19,-1035.00,1024,0,0.0000,0.9445
20,-1182.50,1024,0,0.0000,0.9417
21,-553.75,609,1,0.0000,0.9389
22,-1189.00,1024,0,0.0000,0.9360
23,-1169.75,1024,0,0.0000,0.9332
24,-278.25,387,1,0.0000,0.9304
25,-593.25,739,1,0.0000,0.9276
26,-1048.50,1024,0,0.0000,0.9249
27,-1328.50,1024,0,0.0000,0.9221
28,-1159.75,1024,0,0.0000,0.9193
29,-1096.75,1024,0,0.0000,0.9166
30,-1171.50,1024,0,0.0000,0.9138
31,-1101.50,1024,0,0.0000,0.9111
32,-1147.75,1024,0,0.0000,0.9083
33,-914.50,932,1,0.0000,0.9056
34,-1081.00,1024,0,0.0000,0.9029
35,-181.75,304,1,0.0000,0.9002
36,-947.00,936,1,0.0000,0.8975
37,-1246.00,1024,0,0.0000,0.8948
38,-23.00,164,1,0.0000,0.8921
39,-1274.25,1024,0,0.0000,0.8894
40,-17.25,165,1,0.0000,0.8868
41,-643.00,707,1,0.0000,0.8841
42,-303.50,411,1,0.0000,0.8814
43,-1268.75,1024,0,0.0000,0.8788
44,-239.25,390,1,0.0000,0.8762
45,-1200.25,1024,0,0.0000,0.8735
