episode,total_reward,steps,solved,timestep,final_dist,min_dist,train_reward
1,-507.50,1024,0,1024,27,27,-147.00
2,-498.50,1024,0,1325,21,21,28.50
3,-498.50,1024,0,1801,21,21,-25.00
4,10.00,1024,0,2204,20,20,4.50
5,-504.50,1024,0,2294,25,25,68.00
6,-504.50,1024,0,2366,25,25,69.00
7,4.00,1024,0,2453,26,25,70.50
8,-497.00,1024,0,2609,20,20,60.00
9,4.00,1024,0,2676,26,25,73.50
10,-497.00,1024,0,2732,20,20,72.00
11,-497.00,1024,0,2774,20,20,78.00
12,-497.00,1024,0,2901,20,20,68.50
13,79.00,30,1,2980,0,0,69.50
14,79.00,32,1,3034,0,0,75.00
15,79.00,30,1,3083,0,0,77.50
16,79.00,30,1,3124,0,0,76.50
17,79.00,30,1,3188,0,0,72.00
18,79.00,30,1,3234,0,0,78.00
19,79.00,30,1,3275,0,0,77.50
20,79.00,30,1,3322,0,0,75.50
21,79.00,30,1,3354,0,0,79.00
22,79.00,30,1,3392,0,0,78.00
23,79.00,30,1,3432,0,0,77.00
24,79.00,30,1,3464,0,0,78.00
25,79.00,30,1,3511,0,0,77.50
26,79.00,30,1,3543,0,0,78.00
27,79.00,30,1,3589,0,0,77.00
28,79.00,30,1,3629,0,0,78.00
29,79.00,30,1,3679,0,0,74.00
30,79.00,30,1,3722,0,0,78.50
31,79.00,30,1,3756,0,0,78.00
32,79.00,30,1,3789,0,0,78.50
33,79.00,30,1,3829,0,0,77.00
34,79.00,30,1,3872,0,0,76.50
35,79.00,30,1,3904,0,0,78.00
36,79.00,30,1,3945,0,0,76.50
37,79.00,30,1,3983,0,0,77.00
38,79.00,30,1,4024,0,0,77.50
39,79.00,30,1,4071,0,0,76.50
40,79.00,30,1,4119,0,0,76.00
41,79.00,30,1,4150,0,0,78.50
42,79.00,30,1,4186,0,0,78.00
43,79.00,30,1,4222,0,0,77.00
44,79.00,30,1,4270,0,0,77.00
45,79.00,30,1,4312,0,0,76.00
46,79.00,30,1,4347,0,0,77.50
47,79.00,30,1,4384,0,0,78.50
48,-470.00,1024,0,4420,2,2,79.00
49,79.00,30,1,4462,0,0,77.00
50,79.00,30,1,4510,0,0,78.00
51,79.00,30,1,5534,0,0,-279.50
52,79.00,30,1,5566,0,0,79.00
53,79.00,30,1,6590,0,0,-90.50
54,79.00,30,1,6623,0,0,77.50
55,79.00,30,1,6657,0,0,79.00
56,79.00,30,1,6688,0,0,78.50
57,79.00,30,1,6723,0,0,77.50
58,79.00,30,1,6753,0,0,79.00
59,79.00,30,1,6784,0,0,78.50
60,79.00,30,1,6818,0,0,78.00
61,79.00,30,1,6863,0,0,78.50
62,79.00,30,1,6897,0,0,77.00
63,79.00,30,1,6929,0,0,78.00
64,79.00,30,1,6966,0,0,77.50
65,79.00,30,1,7007,0,0,77.50
66,79.00,30,1,7037,0,0,79.00
67,79.00,30,1,7070,0,0,77.50
68,79.00,30,1,7100,0,0,79.00
69,79.00,30,1,7139,0,0,78.50
70,79.00,30,1,7172,0,0,77.50
71,79.00,30,1,7203,0,0,78.50
72,79.00,30,1,7235,0,0,78.00
73,79.00,30,1,7266,0,0,78.50
74,79.00,30,1,7300,0,0,78.00
75,79.00,30,1,7335,0,0,78.50
76,79.00,30,1,7368,0,0,78.50
77,79.00,30,1,7403,0,0,77.50
78,79.00,30,1,7433,0,0,79.00
79,79.00,30,1,7463,0,0,79.00
80,79.00,30,1,7493,0,0,79.00
81,79.00,30,1,7525,0,0,79.00
82,79.00,30,1,7557,0,0,79.00
83,79.00,30,1,7587,0,0,79.00
84,79.00,30,1,7621,0,0,79.00
85,79.00,30,1,7655,0,0,78.00
86,79.00,30,1,7685,0,0,79.00
87,79.00,30,1,7715,0,0,79.00
88,79.00,30,1,7745,0,0,79.00
89,79.00,30,1,7783,0,0,78.00
90,79.00,30,1,7829,0,0,74.00
91,79.00,30,1,7861,0,0,79.00
92,79.00,30,1,7891,0,0,79.00
93,79.00,30,1,7926,0,0,78.50
94,79.00,30,1,7958,0,0,79.00
95,-477.50,1024,0,7992,7,7,77.00
96,-477.50,1024,0,8028,7,7,78.00
97,-477.50,1024,0,8069,7,7,76.50
98,-477.50,1024,0,8101,7,7,78.00
99,-477.50,1024,0,8173,7,7,68.00
100,-477.50,1024,0,8223,7,7,75.00
101,-477.50,1024,0,8258,7,7,78.50
102,-477.50,1024,0,8295,7,7,76.50
103,-477.50,1024,0,8333,7,7,78.00
104,-477.50,1024,0,8392,7,7,70.50
105,-477.50,1024,0,8426,7,7,77.00
106,-477.50,1024,0,8487,7,7,68.50
107,-477.50,1024,0,8525,7,7,78.00
108,-477.50,1024,0,8561,7,7,77.00
109,-477.50,1024,0,8600,7,7,76.50
110,-477.50,1024,0,8650,7,7,73.00
111,-477.50,1024,0,8693,7,7,76.50
112,-477.50,1024,0,8730,7,7,76.50
113,79.00,30,1,8764,0,0,77.00
114,-477.50,1024,0,8801,7,7,78.50
115,79.00,30,1,8835,0,0,78.00
116,79.00,30,1,8868,0,0,77.50
117,79.00,30,1,8900,0,0,79.00
118,79.00,30,1,8930,0,0,79.00
119,79.00,30,1,8962,0,0,79.00
120,79.00,30,1,8993,0,0,78.50
121,79.00,30,1,9026,0,0,78.50
122,79.00,30,1,9061,0,0,77.50
123,79.00,30,1,9094,0,0,78.50
124,79.00,32,1,9131,0,0,78.50
125,79.00,32,1,9164,0,0,78.50
126,79.00,32,1,9194,0,0,79.00
127,-491.00,1024,0,9226,16,16,78.00
128,-491.00,1024,0,9265,16,16,77.50
129,-491.00,1024,0,9298,16,16,78.50
130,-491.00,1024,0,9336,16,16,78.00
131,-491.00,1024,0,9380,16,16,77.00
132,14.00,1024,0,9429,16,16,77.50
133,79.00,32,1,9474,0,0,76.50
134,-478.00,1024,0,9520,8,8,73.00
135,14.00,1024,0,10544,16,16,-143.00
136,12.00,1024,0,11463,18,16,63.50
137,-492.00,1024,0,12487,18,18,-148.00
138,-494.00,1024,0,13511,18,18,-106.50
139,14.00,1024,0,14535,16,16,-4.00
140,10.00,1024,0,15559,20,20,-89.50
141,-512.00,1024,0,16583,30,30,8.50
142,2.00,1024,0,17607,28,28,-188.00
143,-506.00,1024,0,18631,26,26,-179.50
144,2.00,1024,0,19655,28,27,-67.50
145,2.00,1024,0,20344,28,27,68.50
146,4.00,1024,0,20390,26,26,79.00
147,79.00,30,1,20420,0,0,79.00
148,79.00,30,1,20450,0,0,79.00
149,79.00,30,1,20480,0,0,79.00
150,79.00,30,1,20510,0,0,79.00
151,79.00,30,1,20540,0,0,79.00
152,79.00,30,1,20570,0,0,79.00
153,79.00,30,1,20600,0,0,79.00
154,79.00,30,1,20630,0,0,79.00
155,79.00,30,1,20660,0,0,79.00
156,79.00,30,1,20690,0,0,79.00
157,79.00,30,1,20742,0,0,79.00
158,79.00,30,1,20772,0,0,79.00
159,79.00,30,1,20802,0,0,79.00
160,79.00,30,1,20832,0,0,79.00
161,79.00,30,1,20862,0,0,79.00
162,79.00,30,1,20892,0,0,79.00
163,79.00,30,1,20922,0,0,79.00
164,79.00,30,1,20952,0,0,79.00
165,79.00,30,1,20982,0,0,79.00
166,79.00,30,1,21012,0,0,79.00
167,79.00,30,1,21042,0,0,79.00
168,79.00,30,1,21072,0,0,79.00
169,79.00,30,1,21102,0,0,79.00
170,79.00,30,1,21134,0,0,79.00
171,79.00,30,1,21164,0,0,79.00
172,79.00,30,1,21196,0,0,79.00
173,79.00,30,1,21226,0,0,79.00
174,79.00,30,1,21256,0,0,79.00
175,79.00,30,1,21286,0,0,79.00
176,79.00,30,1,21316,0,0,79.00
177,79.00,30,1,21346,0,0,79.00
178,79.00,30,1,21376,0,0,79.00
179,79.00,30,1,21406,0,0,79.00
180,79.00,30,1,21438,0,0,79.00
181,79.00,30,1,21468,0,0,79.00
182,79.00,30,1,21498,0,0,79.00
183,79.00,30,1,21528,0,0,79.00
184,79.00,30,1,21558,0,0,79.00
185,79.00,30,1,21588,0,0,79.00
186,79.00,30,1,21618,0,0,79.00
187,79.00,30,1,21648,0,0,79.00
188,79.00,30,1,21678,0,0,79.00
189,79.00,30,1,21708,0,0,79.00
190,79.00,30,1,21739,0,0,78.50
191,79.00,30,1,21769,0,0,79.00
192,79.00,30,1,21799,0,0,79.00
193,79.00,30,1,21829,0,0,79.00
194,79.00,30,1,21859,0,0,79.00
195,79.00,30,1,21889,0,0,79.00
196,79.00,30,1,21919,0,0,79.00
197,79.00,30,1,21949,0,0,79.00
198,79.00,30,1,21979,0,0,79.00
199,79.00,30,1,22009,0,0,79.00
200,79.00,30,1,22039,0,0,79.00
201,79.00,30,1,22069,0,0,79.00
202,79.00,30,1,22099,0,0,79.00
203,79.00,30,1,22129,0,0,79.00
204,6.00,1024,0,22729,24,23,79.00
205,6.00,1024,0,22763,24,23,79.00
206,79.00,30,1,22795,0,0,79.00
207,6.00,1024,0,22827,24,23,79.00
208,6.00,1024,0,22861,24,23,79.00
209,79.00,30,1,22891,0,0,79.00
210,6.00,1024,0,22927,24,23,79.00
211,79.00,30,1,22963,0,0,79.00
212,79.00,30,1,22993,0,0,79.00
213,79.00,30,1,23029,0,0,79.00
214,79.00,30,1,23061,0,0,79.00
215,79.00,30,1,23093,0,0,79.00
216,79.00,30,1,23123,0,0,79.00
217,79.00,30,1,23153,0,0,79.00
218,79.00,30,1,23183,0,0,79.00
219,79.00,30,1,23213,0,0,79.00
220,79.00,30,1,23243,0,0,79.00
221,79.00,30,1,23273,0,0,79.00
222,79.00,30,1,23303,0,0,79.00
223,79.00,30,1,23333,0,0,79.00
224,79.00,30,1,23363,0,0,79.00
225,79.00,30,1,23393,0,0,79.00
226,79.00,30,1,23423,0,0,79.00
227,79.00,30,1,23453,0,0,79.00
228,-501.50,1024,0,23483,23,23,79.00
229,-501.50,1024,0,23528,23,23,71.50
230,-501.50,1024,0,23604,23,23,57.00
231,79.00,30,1,23649,0,0,71.50
232,79.00,30,1,23679,0,0,79.00
233,79.00,30,1,23711,0,0,79.00
234,79.00,30,1,23741,0,0,79.00
235,79.00,30,1,23771,0,0,79.00
236,79.00,30,1,23801,0,0,79.00
237,79.00,30,1,23831,0,0,79.00
238,79.00,30,1,24189,0,0,79.00
239,79.00,30,1,24219,0,0,79.00
240,79.00,30,1,24249,0,0,79.00
241,79.00,30,1,24279,0,0,79.00
242,79.00,30,1,24309,0,0,79.00
243,79.00,30,1,24339,0,0,79.00
244,79.00,30,1,24369,0,0,79.00
245,79.00,30,1,24399,0,0,79.00
246,79.00,30,1,24429,0,0,79.00
247,79.00,30,1,24459,0,0,79.00
248,79.00,30,1,24490,0,0,78.50
249,79.00,30,1,24522,0,0,78.00
250,79.00,30,1,24554,0,0,78.00
251,79.00,30,1,24584,0,0,79.00
252,79.00,30,1,24614,0,0,79.00
253,79.00,30,1,24644,0,0,79.00
254,79.00,30,1,24675,0,0,78.50
255,79.00,30,1,24706,0,0,78.50
256,79.00,30,1,24737,0,0,78.50
257,79.00,30,1,24769,0,0,78.00
258,79.00,30,1,24799,0,0,79.00
259,79.00,30,1,24832,0,0,77.50
260,79.00,30,1,24862,0,0,79.00
261,79.00,30,1,24892,0,0,79.00
262,79.00,30,1,24922,0,0,79.00
263,79.00,30,1,24952,0,0,79.00
264,79.00,30,1,24983,0,0,78.50
265,79.00,30,1,25013,0,0,79.00
266,79.00,30,1,25043,0,0,79.00
267,79.00,30,1,25073,0,0,79.00
268,79.00,30,1,25103,0,0,79.00
269,79.00,30,1,25133,0,0,79.00
270,79.00,30,1,25164,0,0,78.50
271,79.00,30,1,25194,0,0,79.00
272,79.00,30,1,25224,0,0,79.00
273,79.00,30,1,25254,0,0,79.00
274,79.00,30,1,25284,0,0,79.00
275,79.00,30,1,25314,0,0,79.00
276,79.00,30,1,25346,0,0,79.00
277,79.00,32,1,25376,0,0,79.00
