episode,total_reward,steps,solved,timestep,final_dist,min_dist,train_reward
142,40.00,4900,0,663175,28,28,40.00
143,40.00,4900,0,668075,28,28,40.00
144,40.00,4900,0,672975,28,28,40.00
145,40.00,4900,0,677875,28,28,40.00
146,40.00,4900,0,682775,28,28,40.00
147,40.00,4900,0,687675,28,28,40.00
148,34.00,4900,0,692575,34,33,40.00
149,38.00,4900,0,697475,30,30,-69.00
150,40.00,4900,0,702375,28,28,40.00
151,40.00,4900,0,707275,28,28,40.00
152,40.00,4900,0,712175,28,28,38.50
153,40.00,4900,0,717075,28,28,38.50
154,40.00,4900,0,721975,28,28,40.00
155,34.00,4900,0,726875,34,33,40.00
156,40.00,4900,0,731775,28,28,40.00
157,40.00,4900,0,736675,28,28,38.50
158,40.00,4900,0,741575,28,28,-34.00
159,34.00,4900,0,746475,34,33,40.00
