episode,total_reward,steps,solved,timestep,final_dist,min_dist,train_reward
1,-1214.00,2500,0,2500,24,24,-369.00
2,28.00,2500,0,5000,20,20,-178.50
3,26.00,2500,0,7500,22,21,-45.00
4,24.00,2500,0,10000,24,24,-139.00
5,6.00,2500,0,12500,42,41,-393.50
6,4.00,2500,0,15000,44,43,-60.50
7,4.00,2500,0,17500,44,44,-238.00
8,8.00,2500,0,20000,40,40,8.00
9,16.00,2500,0,22500,32,31,15.00
10,22.00,2500,0,25000,26,26,22.00
11,26.00,2500,0,27500,22,22,30.00
12,26.00,2500,0,30000,22,22,28.00
13,24.00,2500,0,32500,24,23,24.00
14,24.00,2500,0,35000,24,24,24.00
15,28.00,2500,0,37500,20,19,28.00
16,20.00,2500,0,40000,28,28,26.00
17,18.00,2500,0,42500,30,29,28.00
18,6.00,2500,0,45000,42,42,30.00
19,28.00,2500,0,47500,20,20,28.00
20,28.00,2500,0,50000,20,18,28.00
21,28.00,2500,0,52500,20,19,30.00
22,28.00,2500,0,55000,20,19,28.00
23,24.00,2500,0,57500,24,23,30.00
24,30.00,2500,0,60000,18,18,30.00
25,30.00,2500,0,62500,18,18,28.00
26,28.00,2500,0,65000,20,19,28.00
27,30.00,2500,0,67500,18,18,30.00
28,30.00,2500,0,70000,18,18,30.00
29,24.00,2500,0,72500,24,24,30.00
30,30.00,2500,0,75000,18,18,28.50
31,30.00,2500,0,77500,18,18,30.00
32,30.00,2500,0,80000,18,18,29.00
33,30.00,2500,0,82500,18,18,30.00
34,30.00,2500,0,85000,18,18,30.00
35,16.00,2500,0,87500,32,31,30.00
36,30.00,2500,0,90000,18,18,30.00
37,26.00,2500,0,92500,22,20,26.00
38,30.00,2500,0,95000,18,18,30.00
39,30.00,2500,0,97500,18,18,30.00
40,30.00,2500,0,100000,18,18,28.50
41,30.00,2500,0,102500,18,18,30.00
42,30.00,2500,0,105000,18,18,30.00
43,12.00,2500,0,107500,36,35,30.00
44,22.00,2500,0,110000,26,25,30.00
45,22.00,2500,0,112500,26,25,30.00
46,30.00,2500,0,115000,18,18,29.00
47,30.00,2500,0,117500,18,18,30.00
48,30.00,2500,0,120000,18,18,29.00
49,30.00,2500,0,122500,18,18,30.00
50,30.00,2500,0,125000,18,18,30.00
